Loss: 1.1038, Epoch Duration: 1.06 seconds
Loss: 1.3569, Epoch Duration: 1.02 seconds
Loss: 1.1502, Epoch Duration: 0.96 seconds
Loss: 1.0242, Epoch Duration: 1.12 seconds
Loss: 1.0733, Epoch Duration: 0.92 seconds
Loss: 1.0729, Epoch Duration: 1.02 seconds
Loss: 0.9917, Epoch Duration: 0.97 seconds
Loss: 1.2023, Epoch Duration: 1.09 seconds
Loss: 1.2036, Epoch Duration: 0.97 seconds
Loss: 1.0678, Epoch Duration: 1.03 seconds
Loss: 1.1906, Epoch Duration: 1.04 seconds
Loss: 1.2285, Epoch Duration: 1.03 seconds
Loss: 1.3394, Epoch Duration: 1.07 seconds
Loss: 1.2672, Epoch Duration: 1.08 seconds
Loss: 1.1043, Epoch Duration: 1.01 seconds
Loss: 1.0959, Epoch Duration: 0.98 seconds
Loss: 1.1584, Epoch Duration: 1.05 seconds
Loss: 1.2589, Epoch Duration: 1.01 seconds
Loss: 1.2776, Epoch Duration: 1.10 seconds
Loss: 1.0840, Epoch Duration: 1.04 seconds
Loss: 1.1709, Epoch Duration: 1.02 seconds
Loss: 1.0890, Epoch Duration: 1.01 seconds
Loss: 0.9587, Epoch Duration: 1.06 seconds
Loss: 0.9732, Epoch Duration: 0.97 seconds
Loss: 1.2374, Epoch Duration: 1.08 seconds
Loss: 1.2617, Epoch Duration: 1.09 seconds
Loss: 1.2003, Epoch Duration: 0.98 seconds
Loss: 1.0113, Epoch Duration: 1.00 seconds
Loss: 1.2180, Epoch Duration: 1.03 seconds
Loss: 1.0272, Epoch Duration: 1.07 seconds
Loss: 1.0696, Epoch Duration: 1.01 seconds
Loss: 1.2368, Epoch Duration: 1.09 seconds
Loss: 1.2155, Epoch Duration: 1.03 seconds
Loss: 1.1886, Epoch Duration: 1.13 seconds
Loss: 1.0711, Epoch Duration: 0.96 seconds
Loss: 1.0566, Epoch Duration: 1.03 seconds
Loss: 1.1719, Epoch Duration: 1.15 seconds
Loss: 1.2444, Epoch Duration: 1.11 seconds
Loss: 1.1363, Epoch Duration: 1.05 seconds
Loss: 1.0425, Epoch Duration: 1.02 seconds
Loss: 1.0774, Epoch Duration: 1.05 seconds
Loss: 1.0826, Epoch Duration: 0.94 seconds
Loss: 1.1403, Epoch Duration: 0.98 seconds
Loss: 1.1490, Epoch Duration: 1.07 seconds
Loss: 1.0523, Epoch Duration: 0.96 seconds
